Year,Name,Gender,Frecuency
2023,Anselmo,Male,547
2023,Marino,Male,547
2023,Matteo,Male,547
2023,Ismail,Male,543
2023,Julen,Male,538
2023,Pablo Antonio,Male,537
2023,Adán,Male,532
2023,José Eduardo,Male,532
2023,Juan Gabriel,Male,529
2023,Narciso,Male,529
2023,Augusto,Male,528
2023,Orlando,Male,525
2023,Samir,Male,521
2023,Octavio,Male,518
2023,Ángel José,Male,517
2023,Juan Esteban,Male,513
2023,Richard,Male,510
2023,Ayman,Male,504
2023,Yassine,Male,503
2023,Bartolomé,Male,502
2023,Gaspar,Male,502
2023,Yoel,Male,502
2023,Jordi,Male,500
2023,Eneko,Male,498
2023,Benigno,Male,497
2023,David Alejandro,Male,497
2023,Ángel Antonio,Male,496
2023,Laureano,Male,494
2023,Noé,Male,494
2023,Vasyl,Male,492
2023,Bonifacio,Male,491
2023,Yassin,Male,490
2023,Denis,Male,485
2023,Enrique José,Male,483
2023,Paul,Male,481
2023,Antonio Miguel,Male,479
2023,José Alfonso,Male,477
2023,Alejo,Male,476
2023,Ignacio Javier,Male,473
2023,Jorge Manuel,Male,466
2023,Luis David,Male,466
2023,Bienvenido,Male,464
2023,Casimiro,Male,463
2023,Julio Alberto,Male,463
2023,Marcos Antonio,Male,463
2023,Bernardino,Male,461
2023,Zakaria,Male,461
2023,William,Male,459
2023,Jean Carlos,Male,458
2023,José Julián,Male,457
2023,Ricardo José,Male,457
2023,Adil,Male,456
2023,Rafael Antonio,Male,456
2023,Francisco Luis,Male,455
2023,Lázaro,Male,455
2023,Humberto,Male,453
2023,Aritz,Male,451
2023,Manuel Francisco,Male,451
2023,George,Male,448
2023,Mostafa,Male,448
2023,Jorge Andrés,Male,447
2023,José Ricardo,Male,447
2023,Carlos David,Male,446
2023,Eliseo,Male,445
2023,Fausto,Male,445
2023,Juan Felipe,Male,445
2023,Abderrahim,Male,444
2023,Antón,Male,443
2023,Eulogio,Male,443
2023,Virgilio,Male,439
2023,Norberto,Male,438
2023,Roque,Male,437
2023,Pedro Ángel,Male,435
2023,Álvaro José,Male,432
2023,Ignacio José,Male,430
2023,Nabil,Male,430
2023,Luis Daniel,Male,428
2023,Carlos María,Male,425
2023,José Tomás,Male,424
2023,Ángel María,Male,423
2023,Nelson,Male,422
2023,Younes,Male,422
2023,Bryan,Male,420
2023,Imran,Male,420
2023,Isaías,Male,419
2023,Tiago,Male,418
2023,Julián,Male,417
2023,Costel,Male,414
2023,Edwin,Male,413
2023,Victorino,Male,412
2023,Andriy,Male,410
2023,Carlos Fernando,Male,406
2023,Achraf,Male,405
2023,Bernabé,Male,404
2023,Pedro María,Male,404
2023,Juan Daniel,Male,403
2023,Ángel David,Male,402
2023,Evaristo,Male,400
2023,Hipólito,Male,400
2023,Diego José,Male,399
2023,Aquilino,Male,398
2023,Emanuel,Male,398
2023,Guzmán,Male,398
2023,José Emilio,Male,398
2023,Diego Andrés,Male,396
2023,José Julio,Male,395
2023,Juan Alfonso,Male,394
2023,José Jesús,Male,393
2023,Herminio,Male,391
2023,Ariel,Male,389
2023,Ares,Male,388
2023,Arsenio,Male,388
2023,Ginés,Male,387
2023,Julio Antonio,Male,385
2023,Rolando,Male,385
2023,Ángel Francisco,Male,384
2023,Carlos Jesús,Male,384
2023,Francesco,Male,384
2023,Agapito,Male,382
2023,Andrea,Male,382
2023,Jesús David,Male,382
2023,José Alfredo,Male,380
2023,Ulises,Male,379
2023,Antonio María,Male,376
2023,Julio José,Male,374
2023,Leoncio,Male,374
