Year,Name,Frecuency
2022,THIAGO ALEXANDER,3
2022,XAVIER,3
2022,YASSIR,3
2022,YIFAN,3
2022,YIHANG,3
2022,YOUSEF,3
2022,YUNAID,3
2022,YUSEF,3
2022,ZAID,3
2022,ZIAD,3
2022,LUCIA,727
2022,SOFIA,581
2022,OLIVIA,438
2022,MARTINA,423
2022,VALERIA,376
2022,EMMA,343
2022,PAULA,332
2022,JULIA,319
2022,MARIA,300
2022,DANIELA,279
2022,VEGA,266
2022,INES,264
2022,ALBA,250
2022,CARLA,242
2022,CARMEN,240
2022,ALEJANDRA,236
2022,CLAUDIA,225
2022,JIMENA,223
2022,ALMA,220
2022,VERA,220
2022,CHLOE,204
2022,NOA,204
2022,MIA,201
2022,VICTORIA,198
2022,CARLOTA,196
2022,SARA,194
2022,ADRIANA,189
2022,LARA,185
2022,VALENTINA,181
2022,AITANA,172
2022,ANA,171
2022,LOLA,171
2022,ZOE,167
2022,LUNA,161
2022,CANDELA,158
2022,MANUELA,158
2022,ELENA,141
2022,ARIADNA,139
2022,CLARA,134
2022,GABRIELA,131
2022,BLANCA,127
2022,ALICIA,126
2022,ABRIL,122
2022,EVA,115
2022,MARINA,110
2022,TRIANA,110
2022,LAIA,109
2022,NORA,106
2022,IRIA,103
2022,IRENE,101
2022,ISABEL,96
2022,LEIRE,96
2022,MARTA,96
2022,CELIA,95
2022,ROCIO,93
2022,CATALINA,86
2022,GALA,83
2022,LAURA,79
2022,AFRICA,76
2022,MACARENA,76
2022,NAIA,75
2022,AINHOA,73
2022,LEYRE,70
2022,LIA,69
2022,IRIS,68
2022,NEREA,68
2022,JULIETA,66
2022,ISABELLA,65
2022,CRISTINA,64
2022,ELSA,64
2022,ANDREA,60
2022,INDIA,60
2022,CAROLINA,59
2022,CAMILA,58
2022,DIANA,58
2022,AMIRA,55
2022,ANTONELLA,55
2022,TERESA,55
2022,AINARA,50
2022,AMELIA,50
2022,ANGELA,47
2022,CAYETANA,47
2022,CLOE,47
2022,ELISA,47
2022,HELENA,47
2022,VIOLETA,46
2022,NAHIA,45
2022,ALAIA,44
2022,AROA,44
2022,AMAIA,43
2022,ADARA,42
2022,MENCIA,42
2022,NATALIA,42
2022,AURORA,41
2022,MAYA,40
2022,LAYAN,39
2022,ALMUDENA,38
2022,JARA,38
2022,LINA,37
2022,MARA,37
2022,NOUR,37
2022,BIANCA,36
2022,FATIMA,36
2022,MAIA,34
2022,CASILDA,33
2022,MIRIAM,33
2022,COVADONGA,32
2022,ELIA,32
2022,SALMA,32
2022,BEATRIZ,31
2022,MARIAM,31
2022,BERTA,30
2022,MAR,29
2022,MARIANA,29
2022,YASMIN,29
2022,DAFNE,28
2022,NAYRA,28
