Year,District,Neighborhood,Gender,Number
2018,Usera,Usera,female,565
2018,Usera,Orcasitas,female,63
2018,Usera,Orcasur,female,58
2018,Usera,San Fermín,female,106
2018,Usera,Almendrales,female,94
2018,Usera,Moscardó,female,126
2018,Usera,Zofío,female,56
2018,Usera,Pradolongo,female,62
2018,Puente de Vallecas,Puente de Vallecas,female,960
2018,Puente de Vallecas,Entrevías,female,139
2018,Puente de Vallecas,San Diego,female,193
2018,Puente de Vallecas,Palomeras Bajas,female,126
2018,Puente de Vallecas,Palomeras Sureste,female,168
2018,Puente de Vallecas,Portazgo,female,129
2018,Puente de Vallecas,Numancia,female,205
2018,Moratalaz,Moratalaz,female,326
2018,Moratalaz,Pavones,female,32
2018,Moratalaz,Horcajo,female,24
2018,Moratalaz,Marroquina,female,69
2018,Moratalaz,Media Legua,female,80
2018,Moratalaz,Fontarrón,female,64
2018,Moratalaz,Vinateros,female,57
2018,Ciudad Lineal,Ciudad Lineal,female,769
2018,Ciudad Lineal,Ventas,female,174
2018,Ciudad Lineal,Pueblo Nuevo,female,209
2018,Ciudad Lineal,Quintana,female,76
2018,Ciudad Lineal,Concepción,female,84
2018,Ciudad Lineal,San Pascual,female,56
2018,Ciudad Lineal,San Juan Bautista,female,49
2018,Ciudad Lineal,Colina,female,37
2018,Ciudad Lineal,Atalaya,female,6
2018,Ciudad Lineal,Costillares,female,78
2018,Hortaleza,Hortaleza,female,889
2018,Hortaleza,Palomas,female,26
2018,Hortaleza,Piovera,female,52
2018,Hortaleza,Canillas,female,128
2018,Hortaleza,Pinar del Rey,female,183
2018,Hortaleza,Apóstol Santiago,female,50
2018,Hortaleza,Valdefuentes,female,450
2018,Villaverde,Villaverde,female,688
2018,Villaverde,Villaverde Alto,female,228
2018,Villaverde,San Cristóbal,female,102
2018,Villaverde,Butarque,female,91
2018,Villaverde,Los Rosales,female,153
2018,Villaverde,Ángeles,female,114
2018,Villa de Vallecas,Villa de Vallecas,female,642
2018,Villa de Vallecas,Casco Histórico de Vallecas,female,151
2018,Villa de Vallecas,Santa Eugenia,female,64
2018,Villa de Vallecas,Ensanche de Vallecas,female,427
2018,Vicálvaro,Vicálvaro,female,253
2018,Vicálvaro,Casco Histórico de Vicálvaro,female,138
2018,Vicálvaro,Valdebernardo,female,40
2018,Vicálvaro,Valderrivas,female,61
2018,Vicálvaro,El Cañaveral,female,14
2018,San Blas-Canillejas,San Blas-Canillejas,female,583
2018,San Blas-Canillejas,Simancas,female,100
2018,San Blas-Canillejas,Hellín,female,42
2018,San Blas-Canillejas,Amposta,female,41
2018,San Blas-Canillejas,Arcos,female,76
2018,San Blas-Canillejas,Rosas,female,105
2018,San Blas-Canillejas,Rejas,female,91
2018,San Blas-Canillejas,Canillejas,female,106
2018,San Blas-Canillejas,El Salvador,female,22
2018,Barajas,Barajas,female,205
2018,Barajas,Alameda de Osuna,female,52
2018,Barajas,Aeropuerto,female,10
2018,Barajas,Casco Histórico de Barajas,female,36
2018,Barajas,Timón,female,76
2018,Barajas,Corralejos,female,31
2019,Centro,Centro,male,496
2019,Centro,Palacio,male,65
2019,Centro,Embajadores,male,186
2019,Centro,Cortes,male,33
2019,Centro,Justicia,male,72
2019,Centro,Universidad,male,124
2019,Centro,Sol,male,16
2019,Arganzuela,Arganzuela,male,675
2019,Arganzuela,Imperial,male,88
2019,Arganzuela,Acacias,male,135
2019,Arganzuela,Chopera,male,96
2019,Arganzuela,Legazpi,male,111
2019,Arganzuela,Delicias,male,131
2019,Arganzuela,Palos de la Frontera,male,107
2019,Arganzuela,Atocha,male,7
2019,Retiro,Retiro,male,484
2019,Retiro,Pacífico,male,116
2019,Retiro,Adelfas,male,85
2019,Retiro,Estrella,male,72
2019,Retiro,Ibiza,male,116
2019,Retiro,Los Jerónimos,male,30
2019,Retiro,Niño Jesús,male,65
2019,Salamanca,Salamanca,male,594
2019,Salamanca,Recoletos,male,69
2019,Salamanca,Goya,male,136
2019,Salamanca,Fuente del Berro,male,72
2019,Salamanca,Guindalera,male,161
2019,Salamanca,Lista,male,92
2019,Salamanca,Castellana,male,64
2019,Chamartín,Chamartín,male,742
2019,Chamartín,El Viso,male,99
2019,Chamartín,Prosperidad,male,159
2019,Chamartín,Ciudad Jardín,male,103
2019,Chamartín,Hispanoamérica,male,173
2019,Chamartín,Nueva España,male,144
2019,Chamartín,Castilla,male,64
2019,Tetuán,Tetuán,male,760
2019,Tetuán,Bellas Vistas,male,166
