name,host_name,host_location,neighbourhood_cleansed,property_type,room_type,accommodates,rooms_text,beds,price
Cottage in Ciutadella de Menorca,Barbara,No info,Ciutadella de Menorca,Entire cottage,Entire home/apt,6,2,8,290
Home in Illes Balears,Margarita,No info,Es Mercadal,Entire home,Entire home/apt,8,3,8,220
Rental unit in Cala Galdana,Mandi,No info,Ferreries,Entire rental unit,Entire home/apt,4,1,4,89
Home in Ciutadella de Menorca,Daniel,No info,Ciutadella de Menorca,Entire home,Entire home/apt,5,2,5,100
Home in Sant Lluis,Laura,No info,Sant Lluis,Entire home,Entire home/apt,8,3,7,622
Chalet in Son Carrio,Paola,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,8,3,7,126
Home in Ciutadella de Menorca,Anna,No info,Ciutadella de Menorca,Entire home,Entire home/apt,7,2,7,81
Home in Binibequer,Sonia,No info,Sant Lluis,Entire home,Entire home/apt,6,2,6,149
Rental unit in Cap d'Artrutx,Francisco,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,100
Villa in Cap d'Artrutx,Carolina,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,3,6,100
Rental unit in Mao,Tina'S,No info,Mahon,Private room in rental unit,Private room,2,1,1,54
Condo in Arenal d'en Castell,Mireia,No info,Es Mercadal,Entire condo,Entire home/apt,4,1,3,85
Townhouse in Son Carrio,David,No info,Ciutadella de Menorca,Entire townhouse,Entire home/apt,6,1,4,157
Rental unit in Cala Blanca,MauterVillas,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,124
Rental unit in Cala Blanca,MauterVillas,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,124
Villa in Calan Porter,MauterVillas,No info,Alaior,Entire villa,Entire home/apt,6,2,5,156
Villa in Cala Blanca,MauterVillas,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,3,7,174
Townhouse in Sant Luis,Mirca,No info,Sant Lluis,Private room in bed and breakfast,Private room,2,1,1,100
Home in Puerto Luz,Olivier,No info,Es Mercadal,Entire home,Entire home/apt,10,5,6,180
